composite_id,url_id,source,property_search_type,property_type_code,property_type,url,property_link,title,layout_type,bedroom_count,is_studio,area_m2,size_band,price_czk,price_per_m2_czk,price_tier,full_address,street_address,borough_name,district_name,prague_zone,prague_ring,location_quality,city_name,region_name,country_name,latitude,longitude,seller_type,floor,floor_category,ownership_type,energy_class,is_new_build,description,details_json,has_balcony,has_parking,has_terrace,has_elevator,has_cellar,amenity_score,first_seen_at,last_seen_at,snapshot_date,is_active,is_removed,removed_at,relisted,relisted_at,price_changed,previous_price_czk,price_change_czk,price_change_pct,listing_duration_days,listing_age_bucket,removed_duration_days,price_vs_district_median_pct
sreality_pozemek_sc_1106723660,1106723660,sreality,pozemek_sc,pozemek,pozemky,,https://www.sreality.cz/detail/prodej/pozemek/bydleni/jilove-u-prahy-borek-/1106723660,Prodej stavebního pozemku 1274 m² Jílové u Prahy - Borek 3 390 000 Kč (2 661 Kč/m²),,,,1274.0,,3390000.0,2660.91,,Jílové u Prahy - Borek,Jílové u Prahy - Borek,Jílové u Prahy - Borek,Jílové u Prahy - Borek,,,ok,,Středočeský kraj,Czech Republic,49.87903594970703,14.502370834350586,agency,,,osobní,,,"Stavební pozemek 1274 m² k prodeji Jílové u Prahy - Borek; 3 390 000 Kč, (Včetně provize RK a právního servisu)","{'cellar': False, 'balcony': False, 'parking': True, 'terrace': False, 'elevator': False}",,,,,,,2026-04-29 11:57:52.753428+00:00,2026-04-29 11:57:52.753428+00:00,2026-04-30,False,True,2026-04-30 13:57:15.460355+00:00,,,,,,,,unknown,,
sreality_byt_sc_144986956,144986956,sreality,byt_sc,byt,byty,,https://www.sreality.cz/detail/prodej/byt/2+kk/beroun-beroun-mesto-kostalkova/144986956,"Prodej bytu 2+kk 40 m² Košťálkova, Beroun - Beroun-Město 5 201 000 Kč",2+kk,,,40.0,,5201000.0,130025.0,,"Košťálkova, Beroun - Beroun-Město",Košťálkova,Beroun - Beroun-Město,Beroun - Beroun-Město,,,ok,,Středočeský kraj,Czech Republic,49.95664596557617,14.050384521484377,agency,,,osobní,,,"Byt 2+kk 40 m² k prodeji Košťálkova, Beroun - Beroun-Město; 5 201 000 Kč, sklep, přízemní, osobní vlastnictví, ve velmi dobrém stavu","{'cellar': True, 'balcony': False, 'parking': True, 'terrace': False, 'elevator': False}",,,,,,,2026-04-29 11:57:52.753428+00:00,2026-04-29 11:57:52.753428+00:00,2026-04-30,False,True,2026-04-30 13:57:15.460355+00:00,,,,,,,,unknown,,
sreality_komercni_sc_1779085388,1779085388,sreality,komercni_sc,komercni,komercni prostory,,https://www.sreality.cz/detail/prodej/komercni/ubytovani/rynholec-rynholec-nam-1-maje/1779085388,"Prodej ubytovacího zařízení 561 m² nám. 1. máje, Rynholec 32 000 000 Kč (57 041 Kč/m²)",,,,561.0,,32000000.0,57041.0,,"nám. 1. máje, Rynholec",nám. 1. máje,Rynholec,Rynholec,,,ok,,Středočeský kraj,Czech Republic,50.134765625,13.924966812133787,agency,,,osobní,D,,"Ubytování 561 m² k prodeji nám. 1. máje, Rynholec; 32 000 000 Kč, přízemní, v dobrém stavu","{'cellar': False, 'balcony': True, 'parking': True, 'terrace': True, 'elevator': False}",,,,,,,2026-04-29 11:57:52.753428+00:00,2026-04-29 11:57:52.753428+00:00,2026-04-30,False,True,2026-04-30 13:57:15.460355+00:00,,,,,,,,unknown,,
sreality_byt_sc_575578188,575578188,sreality,byt_sc,byt,byty,,https://www.sreality.cz/detail/prodej/byt/4+kk/brandys-nad-labem-stara-boleslav-stara-boleslav-nabrezi/575578188,"Prodej bytu 4+kk 96 m² Nábřeží, Brandýs nad Labem-Stará Boleslav - Stará Boleslav 15 128 233 Kč",4+kk,,,96.0,,15128233.0,157585.76,,"Nábřeží, Brandýs nad Labem-Stará Boleslav - Stará Boleslav",Nábřeží,Brandýs nad Labem-Stará Boleslav - Stará Boleslav,Brandýs nad Labem-Stará Boleslav - Stará Boleslav,,,ok,,Středočeský kraj,Czech Republic,50.18637466430664,14.660455703735352,agency,,,osobní,E,,"Byt 4+kk 96 m² k prodeji Nábřeží, Brandýs nad Labem-Stará Boleslav - Stará Boleslav; 15 128 233 Kč, bezbariérový, výtah, patrový, osobní vlastnictví, ve výstavbě","{'cellar': False, 'balcony': True, 'parking': True, 'terrace': False, 'elevator': True}",,,,,,,2026-04-29 11:57:52.753428+00:00,2026-04-29 11:57:52.753428+00:00,2026-04-30,False,True,2026-04-30 13:57:15.460355+00:00,,,,,,,,unknown,,
sreality_dum_1283961676,1283961676,sreality,dum,dum,domy,,https://www.sreality.cz/detail/prodej/dum/chata/praha-dubec-/1283961676,"Prodej chaty 30 m², pozemek 912 m² Praha - Dubeč 6 500 000 Kč",,,,30.0,,6500000.0,216666.67,,", pozemek 912 m² Praha - Dubeč",,Dubeč,Praha - Ostatní,Praha - Ostatní,,missing_district,Praha,Praha,Czech Republic,,,,,,,,,,,,,,,,,2026-04-23 12:31:01.178533+00:00,2026-04-29 11:57:52.753428+00:00,2026-04-30,False,True,2026-04-30 13:57:15.460355+00:00,,,,,,,,unknown,,
sreality_pozemek_sc_2412552268,2412552268,sreality,pozemek_sc,pozemek,pozemky,,https://www.sreality.cz/detail/prodej/pozemek/bydleni/krecovice-policany-/2412552268,Prodej stavebního pozemku 1628 m² Křečovice - Poličany 5 535 200 Kč (3 400 Kč/m²),,,,1628.0,,5535200.0,3400.0,,Křečovice - Poličany,Křečovice - Poličany,Křečovice - Poličany,Křečovice - Poličany,,,ok,,Středočeský kraj,Czech Republic,,,,,,,,,,,,,,,,,2026-04-29 11:57:52.753428+00:00,2026-04-29 11:57:52.753428+00:00,2026-04-30,False,True,2026-04-30 13:57:15.460355+00:00,,,,,,,,unknown,,
sreality_byt_sc_3859390540,3859390540,sreality,byt_sc,byt,byty,,https://www.sreality.cz/detail/prodej/byt/2+1/milovice-bozi-dar-kratka/3859390540,"Prodej bytu 2+1 46 m² Krátká, Milovice - Boží Dar 3 490 000 Kč",2+1,,,46.0,,3490000.0,75869.57,,"Krátká, Milovice - Boží Dar",Krátká,Milovice - Boží Dar,Milovice - Boží Dar,,,ok,,Středočeský kraj,Czech Republic,50.22880172729492,14.86907958984375,agency,,,osobní,,,"Byt 2+1 46 m² k prodeji Krátká, Milovice - Boží Dar; 3 490 000 Kč, lodžie, sklep, patrový, osobní vlastnictví, v dobrém stavu","{'cellar': True, 'balcony': True, 'parking': True, 'terrace': False, 'elevator': False}",,,,,,,2026-04-29 11:57:52.753428+00:00,2026-04-29 11:57:52.753428+00:00,2026-04-30,False,True,2026-04-30 13:57:15.460355+00:00,,,,,,,,unknown,,
sreality_byt_sc_772170572,772170572,sreality,byt_sc,byt,byty,,https://www.sreality.cz/detail/prodej/byt/3+1/josefuv-dul-josefuv-dul-/772170572,Prodej bytu 3+1 108 m² Josefův Důl 7 290 000 Kč,3+1,,,108.0,,7290000.0,67500.0,,Josefův Důl,Josefův Důl,Josefův Důl,Josefův Důl,,,ok,,Středočeský kraj,Czech Republic,50.45408248901367,14.87472152709961,agency,,,osobní,,,"Byt 3+1 108 m² k prodeji Josefův Důl; 7 290 000 Kč, sklep, parkování, patrový, osobní vlastnictví, v dobrém stavu","{'cellar': True, 'balcony': False, 'parking': True, 'terrace': False, 'elevator': False}",,,,,,,2026-04-29 11:57:52.753428+00:00,2026-04-29 11:57:52.753428+00:00,2026-04-30,False,True,2026-04-30 13:57:15.460355+00:00,,,,,,,,unknown,,
sreality_byt_sc_125334348,125334348,sreality,byt_sc,byt,byty,,https://www.sreality.cz/detail/prodej/byt/2+kk/kladno-krocehlavy-prazska/125334348,"Prodej bytu 2+kk 48 m² Pražská, Kladno - Kročehlavy 5 400 000 Kč",2+kk,,,48.0,,5400000.0,112500.0,,"Pražská, Kladno - Kročehlavy",Pražská,Kladno - Kročehlavy,Kladno - Kročehlavy,,,ok,,Středočeský kraj,Czech Republic,50.136287689208984,14.124220848083496,agency,,,osobní,E,,"Byt 2+kk 48 m² k prodeji Pražská, Kladno - Kročehlavy; 5 400 000 Kč, přízemní, osobní vlastnictví, ve výstavbě","{'cellar': True, 'balcony': True, 'parking': True, 'terrace': False, 'elevator': False}",,,,,,,2026-04-29 11:57:52.753428+00:00,2026-04-29 11:57:52.753428+00:00,2026-04-30,False,True,2026-04-30 13:57:15.460355+00:00,,,,,,,,unknown,,
sreality_byt_sc_4120879180,4120879180,sreality,byt_sc,byt,byty,,https://www.sreality.cz/detail/prodej/byt/3+kk/brandys-nad-labem-stara-boleslav-stara-boleslav-nabrezi/4120879180,"Prodej bytu 3+kk 79 m² Nábřeží, Brandýs nad Labem-Stará Boleslav - Stará Boleslav 13 093 996 Kč",3+kk,,,79.0,,13093996.0,165746.78,,"Nábřeží, Brandýs nad Labem-Stará Boleslav - Stará Boleslav",Nábřeží,Brandýs nad Labem-Stará Boleslav - Stará Boleslav,Brandýs nad Labem-Stará Boleslav - Stará Boleslav,,,ok,,Středočeský kraj,Czech Republic,50.18637466430664,14.660455703735352,agency,,,osobní,E,,"Byt 3+kk 79 m² k prodeji Nábřeží, Brandýs nad Labem-Stará Boleslav - Stará Boleslav; 13 093 996 Kč, balkón, bezbariérový, výtah, patrový, osobní vlastnictví, ve výstavbě","{'cellar': False, 'balcony': True, 'parking': True, 'terrace': False, 'elevator': True}",,,,,,,2026-04-29 11:57:52.753428+00:00,2026-04-29 11:57:52.753428+00:00,2026-04-30,False,True,2026-04-30 13:57:15.460355+00:00,,,,,,,,unknown,,
