composite_id,url_id,source,property_search_type,url,property_link,title,description,seller_type,ownership_type,energy_class,floor,details_json,latitude,longitude,timestamp,exists
sreality_byt_1313039180,1313039180,sreality,byt,/detail/prodej/byt/2+kk/praha-liben-na-strazi/1313039180,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-liben-na-strazi/1313039180,"Prodej bytu 2+kk 63 m² Na stráži, Praha - Libeň 10 790 000 Kč","Byt 2+kk 63 m² k prodeji Na stráži, Praha - Libeň; 10 790 000 Kč, sklep, parkování, výtah, přízemní, osobní vlastnictví, novostavba",agency,osobní,E,,"{""balcony"": false, ""parking"": true, ""terrace"": false, ""elevator"": true, ""cellar"": true}",50.11191940307617,14.477256774902344,2026-04-23 13:31:01.178533,True
sreality_byt_1090891852,1090891852,sreality,byt,/detail/prodej/byt/2+kk/praha-stodulky-neustupneho/1090891852,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-stodulky-neustupneho/1090891852,"Prodej bytu 2+kk 43 m² Neustupného, Praha - Stodůlky 6 990 000 Kč","Byt 2+kk 43 m² k prodeji Neustupného, Praha - Stodůlky; 6 990 000 Kč, sklep, výtah, patrový, osobní vlastnictví, ve velmi dobrém stavu",agency,osobní,D,,"{""balcony"": false, ""parking"": true, ""terrace"": false, ""elevator"": true, ""cellar"": true}",50.0457878112793,14.322198867797852,2026-04-23 13:31:01.178533,True
sreality_byt_386248780,386248780,sreality,byt,/detail/prodej/byt/2+kk/praha-nove-mesto-opatovicka/386248780,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-nove-mesto-opatovicka/386248780,"Prodej bytu 2+kk 92 m² Opatovická, Praha - Nové Město 17 490 000 Kč","Byt 2+kk 92 m² k prodeji Opatovická, Praha - Nové Město; 17 490 000 Kč, sklep, přízemní, osobní vlastnictví, po rekonstrukci",agency,osobní,D,,"{""balcony"": false, ""parking"": true, ""terrace"": false, ""elevator"": true, ""cellar"": true}",50.07725143432617,14.42381763458252,2026-04-23 13:31:01.178533,True
sreality_byt_604352588,604352588,sreality,byt,/detail/prodej/byt/2+kk/praha-bohnice-ratiborska/604352588,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-bohnice-ratiborska/604352588,"Prodej bytu 2+kk 41 m² Ratibořská, Praha - Bohnice 6 790 000 Kč","Byt 2+kk 41 m² k prodeji Ratibořská, Praha - Bohnice; 6 790 000 Kč, sklep, výtah, patrový, osobní vlastnictví, v dobrém stavu",agency,osobní,E,,"{""balcony"": false, ""parking"": true, ""terrace"": false, ""elevator"": true, ""cellar"": true}",50.13436508178711,14.418991088867188,2026-04-23 13:31:01.178533,True
sreality_byt_1193952076,1193952076,sreality,byt,/detail/prodej/byt/4+kk/praha-smichov-na-belidle/1193952076,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-smichov-na-belidle/1193952076,"Prodej bytu 4+kk 114 m² Na Bělidle, Praha - Smíchov 17 350 000 Kč","Byt 4+kk 114 m² k prodeji Na Bělidle, Praha - Smíchov; 17 350 000 Kč, balkón, sklep, patrový, osobní vlastnictví, ve velmi dobrém stavu",agency,osobní,D,,"{""balcony"": true, ""parking"": true, ""terrace"": false, ""elevator"": false, ""cellar"": true}",50.0777587890625,14.404019355773926,2026-04-23 13:31:01.178533,True
sreality_byt_1080012876,1080012876,sreality,byt,/detail/prodej/byt/2+kk/praha-dolni-mecholupy-honzikova/1080012876,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-dolni-mecholupy-honzikova/1080012876,"Prodej bytu 2+kk 51 m² Honzíkova, Praha - Dolní Měcholupy 7 990 000 Kč","Byt 2+kk 51 m² k prodeji Honzíkova, Praha - Dolní Měcholupy; 7 990 000 Kč, balkón, přízemní, osobní vlastnictví, ve velmi dobrém stavu",agency,osobní,E,,"{""balcony"": true, ""parking"": true, ""terrace"": false, ""elevator"": false, ""cellar"": false}",50.06019973754883,14.557820320129395,2026-04-23 13:31:01.178533,True
sreality_byt_3315839052,3315839052,sreality,byt,/detail/prodej/byt/3+kk/praha-hlubocepy-borskeho/3315839052,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-hlubocepy-borskeho/3315839052,"Prodej bytu 3+kk 85 m² Borského, Praha - Hlubočepy 15 900 000 Kč","Byt 3+kk 85 m² k prodeji Borského, Praha - Hlubočepy; 15 900 000 Kč, balkón, výtah, přízemní, osobní vlastnictví, novostavba",agency,osobní,,,"{""balcony"": true, ""parking"": true, ""terrace"": true, ""elevator"": true, ""cellar"": false}",50.034751892089844,14.377205848693848,2026-04-23 13:31:01.178533,True
sreality_byt_30425676,30425676,sreality,byt,/detail/prodej/byt/2+kk/praha-radotin-namesti-osvoboditelu/30425676,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-radotin-namesti-osvoboditelu/30425676,"Prodej bytu 2+kk 47 m² náměstí Osvoboditelů, Praha - Radotín 8 547 147 Kč",,,,,,,,,2026-04-23 13:31:01.178533,True
sreality_byt_2183283532,2183283532,sreality,byt,/detail/prodej/byt/2+kk/praha-zizkov-hartigova/2183283532,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-zizkov-hartigova/2183283532,"Prodej bytu 2+kk 51 m² Hartigova, Praha - Žižkov 7 650 000 Kč","Byt 2+kk 51 m² k prodeji Hartigova, Praha - Žižkov; 7 650 000 Kč, sklep, přízemní, osobní vlastnictví, v dobrém stavu",agency,osobní,D,,"{""balcony"": true, ""parking"": true, ""terrace"": false, ""elevator"": false, ""cellar"": true}",50.098114013671875,14.470664024353027,2026-04-23 13:31:01.178533,True
sreality_byt_2938671948,2938671948,sreality,byt,/detail/prodej/byt/2+kk/praha-karlin-pobrezni/2938671948,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-karlin-pobrezni/2938671948,"Prodej bytu 2+kk 84 m² Pobřežní, Praha - Karlín 17 140 000 Kč","Byt 2+kk 84 m² k prodeji Pobřežní, Praha - Karlín; 17 140 000 Kč, terasa, sklep, patrový, osobní vlastnictví, po rekonstrukci",agency,osobní,D,,"{""balcony"": true, ""parking"": true, ""terrace"": true, ""elevator"": true, ""cellar"": true}",50.0902099609375,14.441225051879883,2026-04-23 13:31:01.178533,True
sreality_byt_638989132,638989132,sreality,byt,/detail/prodej/byt/3+kk/praha-ujezd-u-pruhonic-u-louky/638989132,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-ujezd-u-pruhonic-u-louky/638989132,"Prodej bytu 3+kk 71 m² U louky, Praha - Újezd u Průhonic 11 690 000 Kč","Byt 3+kk 71 m² k prodeji U louky, Praha - Újezd u Průhonic; 11 690 000 Kč, terasa, sklep, zahrada, garáž, bezbariérový, výtah, patrový, osobní vlastnictví, ve velmi dobrém stavu",agency,osobní,,,"{""balcony"": false, ""parking"": true, ""terrace"": true, ""elevator"": true, ""cellar"": true}",50.02056884765625,14.52269458770752,2026-04-23 13:31:01.178533,True
sreality_byt_1316287308,1316287308,sreality,byt,/detail/prodej/byt/2+kk/praha-lochkov-ke-slivenci/1316287308,https://www.sreality.cz/detail/prodej/byt/2+kk/praha-lochkov-ke-slivenci/1316287308,"Prodej bytu 2+kk 63 m² Ke Slivenci, Praha - Lochkov 10 651 000 Kč","Byt 2+kk 63 m² k prodeji Ke Slivenci, Praha - Lochkov; 10 651 000 Kč, zahrada, výtah, přízemní, osobní vlastnictví, novostavba",agency,osobní,D,,"{""balcony"": true, ""parking"": true, ""terrace"": false, ""elevator"": true, ""cellar"": false}",49.98292541503906,14.359151840209961,2026-04-23 13:31:01.178533,True
sreality_byt_1689609036,1689609036,sreality,byt,/detail/prodej/byt/4+kk/praha-hlubocepy-pod-zvahovem/1689609036,https://www.sreality.cz/detail/prodej/byt/4+kk/praha-hlubocepy-pod-zvahovem/1689609036,"Prodej bytu 4+kk 156 m² Pod Žvahovem, Praha - Hlubočepy 26 308 000 Kč","Byt 4+kk 156 m² k prodeji Pod Žvahovem, Praha - Hlubočepy; 26 308 000 Kč, terasa, zahrada, garáž, patrový, osobní vlastnictví, novostavba",agency,osobní,D,,"{""balcony"": false, ""parking"": true, ""terrace"": true, ""elevator"": false, ""cellar"": false}",50.03608703613281,14.386820793151855,2026-04-23 13:31:01.178533,True
sreality_byt_2810016588,2810016588,sreality,byt,/detail/prodej/byt/3+kk/praha-zabehlice-zilinska/2810016588,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-zabehlice-zilinska/2810016588,"Prodej bytu 3+kk 76 m² Žilinská, Praha - Záběhlice 11 590 040 Kč","Byt 3+kk 76 m² k prodeji Žilinská, Praha - Záběhlice; 11 590 040 Kč, (vč. DPH.), balkón, výtah, patrový, osobní vlastnictví, novostavba",agency,osobní,E,,"{""balcony"": true, ""parking"": true, ""terrace"": false, ""elevator"": true, ""cellar"": true}",50.0468864440918,14.475394248962402,2026-04-23 13:31:01.178533,True
sreality_byt_1526883148,1526883148,sreality,byt,/detail/prodej/byt/3+kk/praha-vysocany-kolbenova/1526883148,https://www.sreality.cz/detail/prodej/byt/3+kk/praha-vysocany-kolbenova/1526883148,"Prodej bytu 3+kk 79 m² Kolbenova, Praha - Vysočany 14 599 000 Kč","Byt 3+kk 79 m² k prodeji Kolbenova, Praha - Vysočany; 14 599 000 Kč, (cena včetně provize a právního servisu, včetně provize, včetně právního servisu), balkón, sklep, parkování, bezbariérový, výtah, patrový, osobní vlastnictví, novostavba",agency,osobní,E,,"{""balcony"": true, ""parking"": true, ""terrace"": false, ""elevator"": true, ""cellar"": true}",50.10417938232422,14.48508358001709,2026-04-23 13:31:01.178533,True
sreality_byt_2227528524,2227528524,sreality,byt,/detail/prodej/byt/5+kk/praha-hlubocepy-pod-zvahovem/2227528524,https://www.sreality.cz/detail/prodej/byt/5+kk/praha-hlubocepy-pod-zvahovem/2227528524,"Prodej bytu 5+kk 133 m² Pod Žvahovem, Praha - Hlubočepy 23 833 600 Kč","Byt 5+kk 133 m² k prodeji Pod Žvahovem, Praha - Hlubočepy; 23 833 600 Kč, terasa, zahrada, parkování, patrový, osobní vlastnictví, novostavba",agency,osobní,D,,"{""balcony"": false, ""parking"": true, ""terrace"": true, ""elevator"": false, ""cellar"": false}",50.03608703613281,14.386820793151855,2026-04-23 13:31:01.178533,True
sreality_byt_3291852876,3291852876,sreality,byt,/detail/prodej/byt/3+1/praha-letnany-nydecka/3291852876,https://www.sreality.cz/detail/prodej/byt/3+1/praha-letnany-nydecka/3291852876,"Prodej bytu 3+1 68 m² Nýdecká, Praha - Letňany 7 800 000 Kč",,,,,,,,,2026-04-23 13:31:01.178533,True
