scraped_at,source,property_type,district_name,listing_count,total_market_value_czk,average_asking_price_czk,median_asking_price_czk,median_price_per_m2_czk,average_area_m2
2026-04-23 13:31:01.178533,sreality,byty,Liboc,11,166840000.0,15167272.727272727,15900000.0,157425.74,96.45454545454545
2026-04-23 13:31:01.178533,sreality,byty,Libuš,8,80976720.0,10122090.0,8950860.0,137130.905,74.875
2026-04-23 13:31:01.178533,sreality,byty,Lipence,3,29570000.0,9856666.666666666,8890000.0,107538.46,113.0
2026-04-23 13:31:01.178533,sreality,byty,Lochkov,27,317834000.0,11771629.629629629,10990000.0,156868.22,76.88888888888889
2026-04-23 13:31:01.178533,sreality,byty,Lysolaje,4,31670000.0,7917500.0,7845000.0,187489.105,44.25
2026-04-23 13:31:01.178533,sreality,byty,Malešice,25,230707042.0,10030740.956521738,9790000.0,140930.23,79.92
2026-04-23 13:31:01.178533,sreality,byty,Malá Strana,27,617294000.0,22862740.740740743,20900000.0,208791.21,117.70370370370371
2026-04-23 13:31:01.178533,sreality,byty,Michle,65,753282219.0,11770034.671875,10332500.0,166565.84999999998,70.84615384615384
2026-04-23 13:31:01.178533,sreality,byty,Miškovice,8,84297090.0,10537136.25,11788868.0,150735.475,69.375
2026-04-23 13:31:01.178533,sreality,byty,Modřany,80,838758350.0,11489840.410958905,10290000.0,172566.37,72.0125
2026-04-23 13:31:01.178533,sreality,byty,Motol,8,84010000.0,10501250.0,9620000.0,158511.09999999998,65.375
2026-04-23 13:31:01.178533,sreality,byty,Nebušice,4,84374452.0,21093613.0,22239300.0,134349.055,154.75
2026-04-23 13:31:01.178533,sreality,byty,Nedvězí u Říčan,1,8490000.0,8490000.0,8490000.0,116301.37,73.0
2026-04-23 13:31:01.178533,sreality,byty,Nové Město,162,2430744766.0,16648936.753424658,14500000.0,194560.93,89.79629629629629
2026-04-23 13:31:01.178533,sreality,byty,Nusle,118,1200616399.0,10440142.6,8990000.0,163846.15,62.47457627118644
2026-04-23 13:31:01.178533,sreality,byty,Petrovice,6,44760000.0,7460000.0,7495000.0,130361.54000000001,57.5
2026-04-23 13:31:01.178533,sreality,byty,Pitkovice,35,388527801.0,11427288.264705881,9485000.0,150735.675,79.4
2026-04-23 13:31:01.178533,sreality,byty,Podolí,22,320617650.0,15267507.142857144,11650000.0,159333.33,90.86363636363636
2026-04-23 13:31:01.178533,sreality,byty,Praha - Ostatní,4,0.0,,,,72.75
2026-04-23 13:31:01.178533,sreality,byty,Praha 1,5,145387130.0,36346782.5,1901665.0,67938.45999999999,81.0
2026-04-23 13:31:01.178533,sreality,byty,Praha 10,9,2296698063.0,255188673.66666666,10850000.0,230851.06,58.888888888888886
2026-04-23 13:31:01.178533,sreality,byty,Praha 11,7,81548053.0,11649721.857142856,11875973.0,199107.14,62.857142857142854
2026-04-23 13:31:01.178533,sreality,byty,Praha 12,4,50512000.0,12628000.0,12700000.0,186576.605,70.5
2026-04-23 13:31:01.178533,sreality,byty,Praha 13,4,54520500.0,13630125.0,13716250.0,201150.54499999998,69.0
2026-04-23 13:31:01.178533,sreality,byty,Praha 14,3,42648204.0,14216068.0,14150000.0,176875.0,91.66666666666667
2026-04-23 13:31:01.178533,sreality,byty,Praha 15,3,46405801.0,15468600.333333334,15300000.0,191250.0,77.0
2026-04-23 13:31:01.178533,sreality,byty,Praha 16,3,49580000.0,16526666.666666666,16500000.0,143478.26,111.33333333333333
2026-04-23 13:31:01.178533,sreality,byty,Praha 17,3,51825000.0,17275000.0,17325000.0,175000.0,122.66666666666667
2026-04-23 13:31:01.178533,sreality,byty,Praha 2,7,15037940.0,2506323.3333333335,2529420.0,54822.595,58.42857142857143
2026-04-23 13:31:01.178533,sreality,byty,Praha 20,1,20000000.0,20000000.0,20000000.0,204081.63,98.0
2026-04-23 13:31:01.178533,sreality,byty,Praha 22,5,113019000.0,22603800.0,22650000.0,199130.43,109.0
2026-04-23 13:31:01.178533,sreality,byty,Praha 25,1,25939895.0,25939895.0,25939895.0,146553.08,177.0
2026-04-23 13:31:01.178533,sreality,byty,Praha 29,1,29000000.0,29000000.0,29000000.0,268518.52,108.0
2026-04-23 13:31:01.178533,sreality,byty,Praha 3,3,44547229.0,14849076.333333334,3453330.0,73274.45,57.333333333333336
2026-04-23 13:31:01.178533,sreality,byty,Praha 33,1,33206581.0,33206581.0,33206581.0,279046.9,119.0
2026-04-23 13:31:01.178533,sreality,byty,Praha 34,1,34900000.0,34900000.0,34900000.0,185638.3,188.0
2026-04-23 13:31:01.178533,sreality,byty,Praha 35,1,35000000.0,35000000.0,35000000.0,212121.21,165.0
2026-04-23 13:31:01.178533,sreality,byty,Praha 4,4,841830000.0,210457500.0,208345000.0,1849523.3250000002,82.5
2026-04-23 13:31:01.178533,sreality,byty,Praha 5,34,12614834539.0,371024545.2647059,512135680.0,4733054.205,84.52941176470588
2026-04-23 13:31:01.178533,sreality,byty,Praha 6,4,26193663.0,6548415.75,6557627.5,224957.76,31.75
2026-04-23 13:31:01.178533,sreality,byty,Praha 7,11,800539148.0,72776286.18181819,7512543.0,160204.08,49.90909090909091
2026-04-23 13:31:01.178533,sreality,byty,Praha 8,5,43219000.0,8643800.0,8500000.0,146379.31,62.4
2026-04-23 13:31:01.178533,sreality,byty,Praha 9,18,4299468116.0,238859339.7777778,93094940.5,1405422.57,57.611111111111114
